City,customers,revenue,orders
alvares machado,8,4022.57,8
carmo do paranaiba,16,4008.64,16
viana,26,3994.79,26
santa fe do sul,33,3994.67,35
tangara da serra,24,3970.6,24
timbo,17,3957.67,20
cambe,27,3930.67,27
itarare,27,3915.3,29
santa rita do sapucai,34,3910.7,35
campo largo,37,3894.89,37
russas,9,3843.8700000000003,9
imbituba,34,3838.35,34
guacui,15,3797.29,16
ituverava,30,3783.73,30
catole do rocha,6,3742.59,6
aparecida,23,3740.96,25
ipanema,7,3727.77,7
martinopolis,8,3708.09,8
piumhii,28,3707.31,28
cerqueira cesar,17,3701.52,18
presidente venceslau,26,3691.89,26
sao pedro,12,3683.54,12
iguatu,15,3676.19,15
sapiranga,25,3660.6,26
camaragibe,33,3642.88,35
panambi,17,3640.9900000000002,17
marechal candido rondon,29,3638.56,31
castanhal,22,3628.62,22
miguel pereira,28,3602.2,28
picos,18,3598.56,19
maraba,22,3597.17,22
laranjeiras do sul,19,3595.56,20
posse,17,3550.25,17
tijucas,27,3504.74,30
pires do rio,11,3500.83,12
alta floresta,10,3495.55,12
frutal,26,3474.85,26
januaria,21,3471.23,22
ipira,10,3462.88,10
casimiro de abreu,19,3458.33,20
ibiuna,29,3439.52,31
teixeira de freitas,28,3439.17,29
campo formoso,10,3419.13,10
ji-parana,16,3412.04,17
bom jesus do itabapoana,21,3405.91,21
dois irmaos,18,3398.76,18
mineiros,25,3379.3,26
guararapes,18,3370.84,19
itapolis,28,3363.99,28
sorriso,20,3342.75,20
indaial,26,3334.7400000000002,26
espera feliz,18,3315.75,19
cerquilho,28,3299.91,30
sao luiz gonzaga,15,3298.0099999999998,15
cachoeira paulista,25,3292.0,25
ilhabela,45,3286.2799999999997,46
sao manuel,20,3278.99,21
nova xavantina,10,3274.69,10
campos do jordao,24,3273.0,26
monte carmelo,23,3269.13,24
serra negra,14,3267.53,14
trindade do sul,3,3266.99,4
ibiruba,20,3252.8,21
bacabal,11,3243.71,11
ituporanga,14,3225.16,15
mandaguacu,5,3222.0,5
farroupilha,28,3213.0299999999997,28
valente,6,3209.58,9
cruzeiro do sul,7,3205.6800000000003,7
itapaje,6,3198.6800000000003,6
itabaiana,14,3185.67,16
gramado,30,3176.24,30
jales,27,3173.05,30
guapore,18,3153.15,18
cruz alta,32,3152.1,33
cambui,20,3133.7400000000002,22
crato,19,3128.56,19
quata,13,3119.56,13
camboriu,27,3118.18,28
porto feliz,22,3108.9700000000003,22
claudio,19,3092.97,22
aguas de lindoia,23,3092.59,23
lagoa grande,7,3079.25,8
capao bonito,23,3078.97,28
juquitiba,20,3073.87,21
guapimirim,23,3067.16,23
barrinha,17,3036.93,20
ibotirama,7,3032.39,7
porto uniao,14,3023.65,14
garca,28,3013.41,28
cicero dantas,9,3010.05,10
santo amaro da imperatriz,12,3007.31,12
pederneiras,21,3007.07,21
medianeira,23,3007.04,23
natividade,14,2995.27,16
janauba,16,2990.16,17
buritizeiro,9,2987.99,9
macatuba,12,2984.64,12
santa rosa,30,2972.04,33
braco do norte,20,2962.47,20
paraiba do sul,17,2949.57,18
congonhas,30,2938.61,30
vera cruz,21,2915.66,22
ibitinga,22,2911.26,22
bonito,17,2910.96,17
marataizes,16,2907.27,16
pedreira,34,2893.6,36
monte azul paulista,19,2887.91,19
alegre,17,2884.07,17
curitibanos,21,2878.94,21
cabo de santo agostinho,21,2877.95,21
santa isabel,28,2875.46,30
novo horizonte,17,2873.29,18
almenara,14,2872.1499999999996,14
alem paraiba,29,2870.56,29
matinhos,25,2862.15,27
mairinque,23,2860.12,25
piedade,23,2852.76,23
castro,22,2847.19,22
cunha,15,2845.12,15
bom jesus da lapa,9,2829.63,9
quissama,13,2827.66,13
castilho,11,2822.21,11
encantado,11,2807.17,11
maracaju,13,2791.96,13
estancia velha,19,2782.1,20
paraty,18,2780.77,19
rondon do para,9,2780.13,9
parati,13,2779.7,13
aracati,22,2769.53,22
paraguacu paulista,19,2766.8,20
piracaia,21,2764.83,22
venancio aires,24,2764.62,26
machado,21,2761.92,21
agua boa,16,2758.87,18
quixada,13,2755.57,13
brumado,21,2748.75,22
pau dos ferros,9,2745.5499999999997,9
pirapora do bom jesus,14,2744.66,16
alto do rodrigues,7,2737.46,8
imbe,13,2727.95,13
itapetinga,17,2727.12,18
caico,10,2723.2,10
jacutinga,17,2720.21,19
holambra,23,2719.2,24
fraiburgo,15,2715.57,15
rancharia,21,2713.19,22
bariri,15,2706.45,15
espinosa,6,2705.09,6
tramandai,25,2703.52,25
santana do paraiso,16,2696.82,16
garopaba,20,2693.08,23
bom jardim,17,2693.0499999999997,17
taiobeiras,13,2684.71,13
bom jesus,13,2673.26,14
itapiranga,12,2667.18,12
santa cruz do capibaribe,13,2664.87,13
ipero,16,2659.28,18
escada,10,2658.4300000000003,10
pacaja,6,2651.06,6
venda nova do imigrante,15,2647.83,15
palmeira,16,2640.2200000000003,16
santa juliana,9,2622.39,9
santa cruz do rio pardo,34,2621.48,35
cordeiro,24,2604.86,24
tapiratiba,11,2601.2200000000003,12
estancia,9,2594.65,9
sao joao nepomuceno,14,2594.0,15
oliveira,21,2579.0,22
marialva,16,2573.17,16
presidente epitacio,22,2572.52,23
capelinha,20,2562.96,20
senhor do bonfim,18,2557.28,19
carlos barbosa,20,2554.79,20
monte alto,32,2549.01,34
taquarituba,16,2548.52,16
vacaria,22,2540.07,23
aparecida do taboado,7,2531.9,7
monte siao,19,2530.2799999999997,20
redencao,17,2527.93,18
feliz,14,2523.43,14
pitangui,21,2517.23,22
ouro fino,16,2511.84,16
riachao do jacuipe,4,2502.4,5
itaporanga,13,2501.08,14
dias d'avila,23,2493.44,24
missal,7,2490.76,7
araujos,5,2490.5,6
cafelandia,19,2484.31,21
caete,25,2482.9700000000003,27
sao gotardo,20,2479.38,20
joao pinheiro,16,2475.31,16
paranatinga,2,2463.29,2
manhumirim,16,2461.7799999999997,16
bonfim paulista,18,2457.37,18
irati,22,2455.22,22
vitoria de santo antao,15,2455.15,15
piratininga,9,2449.18,9
barra de sao joao,13,2440.85,13
nova venecia,17,2439.9,19
rio negro,16,2425.77,16
diamantina,27,2424.28,27
floriano,17,2424.02,18
codo,8,2419.82,8
canela,18,2418.63,18
dois vizinhos,25,2409.52,28
crateus,9,2407.76,9
coromandel,22,2403.93,25
quarai,4,2402.99,4
morrinhos,16,2397.59,18
nanuque,24,2395.9700000000003,25
veranopolis,18,2394.04,18
tiangua,9,2377.09,9
abreu e lima,9,2376.95,11
cravinhos,23,2363.95,24
sao gabriel,23,2362.85,24
americo brasiliense,15,2360.1,17
iguaba grande,18,2348.6,19
goiatuba,10,2347.44,10
sao francisco,18,2338.39,18
presidente dutra,15,2335.78,15
cantagalo,19,2329.42,21
ipameri,13,2320.55,13
socorro,18,2319.45,19
icara,21,2317.34,21
salgueiro,16,2315.95,17
santiago,26,2304.7,26
querencia,10,2302.62,10
ilha solteira,24,2299.44,24
penha,17,2298.09,17
triunfo,13,2297.43,14
tres pontas,20,2293.71,20
anchieta,15,2286.5,17
nossa senhora do socorro,14,2282.92,14
rio grande da serra,24,2264.3,26
brumadinho,26,2258.23,26
queimadas,9,2257.35,9
ouricuri,8,2246.86,8
ararangua,18,2246.55,18
comodoro,6,2245.02,7
sarandi,24,2241.32,24
paty do alferes,12,2234.66,13
cornelio procopio,24,2234.17,24
ipora,16,2220.88,17
aguas lindas de goias,23,2219.91,24
novo progresso,5,2219.01,5
pirai,15,2218.16,16
eusebio,13,2217.51,13
estrela,16,2217.15,16
piuma,17,2216.18,17
inhumas,15,2210.83,16
laranjal paulista,17,2209.33,17
vilhena,18,2207.95,18
bambui,18,2206.67,18
mucuri,7,2203.67,7
laguna,13,2202.73,14
pianco,1,2200.0,1
nova esperanca do piria,1,2199.0,1
nova andradina,11,2194.87,11
carpina,10,2194.76,10
paragominas,17,2182.65,19
camanducaia,9,2180.67,9
varzea da palma,11,2171.77,11
matias barbosa,12,2169.86,13
araripina,12,2169.58,12
teotonio vilela,8,2168.68,8
marau,20,2167.34,22
pinheiral,13,2165.19,14
guarani,6,2164.42,7
colider,8,2161.73,8
espirito santo do pinhal,18,2160.02,18
bofete,6,2157.59,6
sao raimundo nonato,7,2145.39,7
sao lourenco do sul,14,2135.38,14
taquaritinga do norte,6,2129.9,7
novo gama,15,2124.94,16
sao borja,15,2124.74,18
santa rita do passa quatro,16,2123.97,18
pinhalzinho,21,2117.28,21
sao joao da barra,15,2115.54,15
tailandia,4,2113.18,4
cristalina,8,2112.65,8
aguai,10,2111.48,10
petrolandia,13,2110.34,15
candeias,21,2102.46,23
paraisopolis,15,2101.66,15
sao sebastiao do cai,12,2087.84,13
viradouro,18,2081.54,18
antonina,10,2077.57,10
conchal,18,2075.2400000000002,19
nova era,15,2074.71,15
santos dumont,21,2056.3,22
serra talhada,10,2053.18,10
goianesia,18,2044.47,18
cambuci,8,2042.79,8
lapa,15,2039.2,15
serrinha,14,2039.1399999999999,15
ipua,4,2031.49,4
carazinho,24,2030.93,24
sao fidelis,23,2029.25,23
junqueiropolis,14,2029.24,15
nucleo residencial pilar,7,2024.35,8
cocal do sul,4,2015.29,4
cruz das almas,17,2007.24,18
porto ferreira,26,2000.7,28
conselheiro pena,14,2000.56,15
cedro de sao joao,3,1999.99,3
buritis,15,1997.2,16
engenheiro navarro,1,1997.0,1
ico,8,1990.88,8
agrestina,1,1989.0,1
sacramento,12,1986.57,13
miguelopolis,13,1984.27,14
gravata,11,1970.99,11
tres de maio,12,1969.05,12
cesario lange,12,1966.5,13
sape,2,1959.99,2
santo antonio do monte,15,1959.1100000000001,15
barao de cocais,18,1958.4,18
cachoeiras de macacu,21,1958.25,21
lagarto,11,1955.4299999999998,11
palmital,18,1939.16,19
igarassu,13,1936.82,13
bombinhas,15,1935.4099999999999,15
goioere,11,1935.28,11
sao mateus do sul,15,1933.95,15
guanhaes,18,1931.45,18
campos novos,14,1929.69,14
mirassol d'oeste,14,1912.02,14
navirai,8,1910.88,8
pompeia,17,1907.08,17
ceres,7,1905.47,7
igarape,11,1904.26,11
itanhandu,14,1899.98,14
maragogi,5,1897.05,5
pinhalao,6,1894.94,7
piracanjuba,10,1893.26,10
caetite,10,1892.3,10
santa maria de jetiba,14,1888.97,15
santo anastacio,14,1884.6,17
auriflama,10,1871.6599999999999,10
paranaita,4,1858.75,4
eldorado do sul,13,1853.48,15
morro agudo,10,1850.95,10
itaguacu,9,1840.92,9
jandaia do sul,8,1839.25,8
campo belo,21,1836.34,21
porangatu,13,1828.15,13
guaratuba,9,1821.8799999999999,9
cajati,16,1821.3200000000002,16
santa rosa de viterbo,12,1818.22,14
cajazeiras,12,1818.16,12
bandeirantes,14,1818.1,14
santo amaro,9,1805.93,10
timon,15,1802.69,15
cacoal,13,1801.47,13
paraiso do tocantins,10,1799.04,10
mariental,1,1799.0,1
eloi mendes,10,1795.3899999999999,10
mangueirinha,9,1794.67,9
caxias,16,1790.55,16
nova granada,18,1790.33,19
sao joao batista,11,1788.22,11
osvaldo cruz,15,1786.46,16
esmeraldas,14,1780.97,14
iturama,15,1772.55,15
fartura,10,1771.4099999999999,10
caxambu,17,1770.63,17
ampere,7,1769.67,9
pariquera-acu,15,1765.1,15
quatro barras,18,1763.66,18
itatinga,4,1760.15,4
itai,10,1757.5800000000002,10
santa vitoria do palmar,12,1750.75,12
parobe,12,1750.48,12
uruacu,16,1750.02,17
sanharo,3,1748.0,3
passa quatro,10,1746.56,10
niquelandia,13,1745.59,14
santa fe de goias,3,1737.6899999999998,4
beberibe,3,1736.7,3
abaete,12,1732.81,12
mafra,28,1732.23,28
irece,12,1729.52,13
lagoa da prata,10,1725.3899999999999,11
charqueadas,16,1721.41,17
itaocara,16,1720.65,16
esperanca,6,1720.38,6
xaxim,9,1718.58,10
camaqua,13,1716.75,13
santa maria da vitoria,13,1710.55,13
ourilandia do norte,5,1710.0800000000002,5
itamarandiba,7,1706.99,8
loanda,13,1704.36,13
belo jardim,12,1698.13,12
camocim,8,1686.29,8
santana do jacare,4,1685.79,4
barra velha,16,1684.01,16
morro da fumaca,6,1676.0,7
conceicao de macabu,13,1668.47,13
leopoldina,17,1667.77,17
sao simao,13,1666.49,14
jaguariaiva,19,1665.58,19
sao joaquim de bicas,8,1663.28,8
esplanada,6,1660.9,6
gameleira,4,1657.98,4
itajobi,10,1653.95,10
ibate,12,1652.59,13
mantena,11,1652.22,11
sao francisco do sul,16,1648.08,17
miracema,19,1643.24,19
carmo do rio claro,8,1642.42,9
carmo do cajuru,10,1638.44,10
santa rita,7,1631.55,8
catende,7,1630.1799999999998,7
carmopolis de minas,5,1629.78,5
caconde,10,1628.19,10
bom conselho,7,1624.93,7
cedral,9,1623.24,9
taquari,11,1619.28,11
bocaiuva,12,1618.27,13
lagoa vermelha,13,1616.25,14
paranaiba,14,1616.23,15
santo amaro de campos,6,1611.78,6
paraibuna,10,1610.99,10
santa adelia,15,1609.6499999999999,15
bom jesus dos perdoes,17,1608.73,18
guariba,14,1608.43,14
ipojuca,16,1605.2,17
piraquara,14,1604.51,14
jacunda,6,1601.71,6
castelo,17,1600.8,18
jardinopolis,13,1600.05,13
loreto,1,1599.99,1
coxim,11,1598.75,11
crissiumal,2,1589.0,2
vitorino freire,3,1588.0,3
montanha,7,1586.54,10
cangucu,14,1584.98,15
pirajui,12,1583.52,12
nova esperanca,8,1579.78,8
pomerode,9,1579.36,9
porto nacional,8,1577.68,8
pombal,5,1577.5,6
candido mota,16,1573.29,16
sao joao do piaui,6,1571.7900000000002,6
chapadao do sul,14,1569.79,14
afonso claudio,11,1568.77,11
canaa dos carajas,9,1565.93,9
minacu,10,1561.6200000000001,11
palmeira das missoes,15,1559.51,16
sidrolandia,9,1557.76,11
visconde do rio branco,17,1557.3400000000001,19
pontes e lacerda,9,1556.77,9
reginopolis,3,1552.99,3
vazante,5,1549.63,6
ipueiras,3,1547.29,3
nova olinda do maranhao,4,1546.4,4
ronda alta,6,1544.33,6
campos sales,4,1543.9,4
conceicao das alagoas,3,1542.4,3
costa marques,2,1534.9,2
toropi,3,1529.9,3
brejo santo,10,1529.8600000000001,10
itatiaia,17,1526.46,18
periquito,2,1526.0,2
cassilandia,5,1524.5,5
santana,13,1522.93,13
tapejara,11,1521.03,11
santa ines,15,1520.78,15
nova olinda,4,1520.7,4
ibatiba,8,1518.78,9
embu,10,1517.88,11
mostardas,10,1517.83,11
tambau,19,1513.43,20
faxinal dos guedes,11,1512.73,11
mata verde,6,1512.53,6
aracoiaba da serra,11,1511.5700000000002,11
camamu,8,1506.82,9
bocaina,6,1506.8,7
lambari,8,1506.47,8
pacaembu,6,1505.29,6
nova russas,7,1504.94,7
